SRC300_v1.1 字词库
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
共75字/词

格式：序号 | 单字 | 词组 | 字频
--------------------------------------------------
  1 | 一 | 一个 | 680
  2 | 的 | 里的 | 489
  3 | 了 | 了一 | 519
  4 | 大 | 大家 | 273
  5 | 他 | 他们 | 287
  6 | 不 | 不是 | 213
  7 | 是 | 可是 | 292
  8 | 这 | 这个 | 207
  9 | 来 | 起来 | 269
 10 | 有 | 没有 | 223
 11 | 在 | 在这 | 151
 12 | 到 | 来到 | 146
 13 | 会 | 一会 | 107
 14 | 我 | 我们 | 100
 15 | 个 | 一个 | 187
 16 | 们 | 子们 | 139
 17 | 就 | 就是 | 177
 18 | 子 | 猴子 | 166
 19 | 说 | 说道 | 119
 20 | 手 | 手里 | 61
 21 | 里 | 这里 | 169
 22 | 下 | 一下 | 147
 23 | 看 | 看看 | 142
 24 | 上 | 上一 | 142
 25 | 中 | 中国 | 42
 26 | 都 | 家都 | 91
 27 | 你 | 你们 | 72
 28 | 时 | 时候 | 57
 29 | 好 | 好像 | 84
 30 | 地 | 地方 | 94
 31 | 出 | 出来 | 79
 32 | 人 | 个人 | 86
 33 | 要 | 要是 | 63
 34 | 也 | 也不 | 69
 35 | 听 | 一听 | 79
 36 | 想 | 想到 | 64
 37 | 开 | 开始 | 47
 38 | 飞 | 飞向 | 45
 39 | 面 | 里面 | 43
 40 | 山 | 果山 | 63
 41 | 花 | 花果 | 48
 42 | 头 | 点头 | 68
 43 | 小 | 小猴 | 74
 44 | 猴 | 猴子 | 96
 45 | 王 | 龙王 | 143
 46 | 心 | 心里 | 40
 47 | 后 | 以后 | 66
 48 | 站 | 站在 | 43
 49 | 多 | 多久 | 65
 50 | 身 | 身上 | 41
 51 | 笑 | 空笑 | 49
 52 | 走 | 走进 | 72
 53 | 龙 | 龙王 | 101
 54 | 家 | 大家 | 46
 55 | 孙 | 孙悟 | 311
 56 | 悟 | 悟空 | 295
 57 | 空 | 悟空 | 312
 58 | 老 | 老孙 | 42
 59 | 前 | 往前 | 27
 60 | 水 | 水晶 | 29
 61 | 风 | 威风 | 28
 62 | 跳 | 一跳 | 22
 63 | 高 | 高兴 | 37
 64 | 长 | 长的 | 26
 65 | 问 | 问题 | 26
 66 | 口 | 一口 | 34
 67 | 吃 | 吃了 | 29
 68 | 拿 | 拿着 | 22
 69 | 仙 | 神仙 | 87
 70 | 树 | 桃树 | 23
 71 | 光 | 金光 | 25
 72 | 桃 | 蟠桃 | 71
 73 | 天 | 天庭 | 179
 74 | 那 | 那里 | 108
 75 | 着 | 着一 | 174

--------------------------------------------------
说明：
- 每道题 = 1个单字 + 1个词组（字形识别 + 词汇识别）
- 共75字/词，对应约150道题
- 与v1.0版本数量类似（v1.0: 73字/75词/154题）
