SRC300_v1.1 字词库（基础级）
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
共186道题
不重复单字总数：300个
文本覆盖率：79.94%

格式：序号 | 单字 | 词组 | 字频
--------------------------------------------------
  1 | 一 | 一个 | 680
  2 | 的 | 里的 | 489
  3 | 了 | 到了 | 519
  4 | 大 | 大家 | 273
  5 | 他 | 他们 | 287
  6 | 不 | 不住 | 213
  7 | 是 | 可是 | 292
  8 | 这 | 这样 | 207
  9 | 来 | 起来 | 269
 10 | 有 | 没有 | 223
 11 | 在 | 在天 | 151
 12 | 会 | 会儿 | 107
 13 | 我 | 次我 | 100
 14 | 就 | 就像 | 177
 15 | 子 | 猴子 | 166
 16 | 说 | 说道 | 119
 17 | 手 | 出手 | 61
 18 | 下 | 陛下 | 147
 19 | 看 | 看看 | 142
 20 | 上 | 树上 | 142
 21 | 中 | 中国 | 42
 22 | 都 | 全都 | 91
 23 | 你 | 果你 | 72
 24 | 时 | 时候 | 57
 25 | 好 | 好多 | 84
 26 | 地 | 地方 | 94
 27 | 王 | 龙王 | 143
 28 | 人 | 人间 | 86
 29 | 要 | 重要 | 63
 30 | 也 | 点也 | 69
 31 | 听 | 听见 | 79
 32 | 想 | 心想 | 64
 33 | 开 | 开始 | 47
 34 | 飞 | 飞向 | 45
 35 | 面 | 前面 | 43
 36 | 东 | 东西 | 43
 37 | 山 | 山头 | 63
 38 | 花 | 负花 | 48
 39 | 小 | 只小 | 74
 40 | 后 | 以后 | 66
 41 | 站 | 空站 | 43
 42 | 身 | 翻身 | 41
 43 | 笑 | 笑着 | 49
 44 | 走 | 走进 | 72
 45 | 游 | 游子 | 7
 46 | 孙 | 孙悟 | 311
 47 | 老 | 俺老 | 42
 48 | 神 | 神仙 | 74
 49 | 桃 | 蟠桃 | 71
 50 | 水 | 水晶 | 29
 51 | 风 | 威风 | 28
 52 | 跳 | 一跳 | 22
 53 | 高 | 高兴 | 37
 54 | 对 | 不对 | 16
 55 | 长 | 长长 | 26
 56 | 问 | 问题 | 26
 57 | 为 | 为什 | 10
 58 | 口 | 口气 | 34
 59 | 吃 | 吃惊 | 29
 60 | 拿 | 拿着 | 22
 61 | 光 | 金光 | 25
 62 | 那 | 那根 | 108
 63 | 石 | 石头 | 18
 64 | 跑 | 跑子 | 10
 65 | 坐 | 坐在 | 17
 66 | 少 | 不少 | 10
 67 | 火 | 火尖 | 14
 68 | 喝 | 喝酒 | 17
 69 | 放 | 放着 | 13
 70 | 怪 | 奇怪 | 20
 71 | 外 | 外面 | 10
 72 | 星 | 金星 | 17
 73 | 雪 | 雪子 | 2
 74 | 哭 | 哭子 | 3
 75 | 日 | 日子 | 5
 76 | 低 | 低声 | 9
 77 | 法 | 办法 | 23
 78 | 短 | 短子 | 5
 79 | 动 | 舞动 | 31
 80 | 新 | 新的 | 7
 81 | 关 | 关子 | 2
 82 | 草 | 草子 | 6
 83 | 木 | 木子 | 4
 84 | 答 | 答应 | 8
 85 | 坏 | 坏子 | 1
 86 | 魔 | 世魔 | 14
 87 | 足 | 足子 | 2
 88 | 耳 | 耳朵 | 8
 89 | 牙 | 牙子 | 1
 90 | 南 | 南海 | 9
 91 | 北 | 北海 | 4
 92 | 舌 | 舌子 | 1
 93 | 穿 | 穿着 | 6
 94 | 目 | 目子 | 2
 95 | 月 | 月子 | 2
 96 | 旧 | 旧子 | 1
 97 | 爬 | 爬子 | 1
 98 | 鼻 | 鼻子 | 1
 99 | 还 | 还能 | 79
100 | 师 | 老师 | 3
