SRC300_v1.1 字词库
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
共200道题
不重复单字总数：309个
文本覆盖率：79.68%

格式：序号 | 单字 | 词组 | 字频
--------------------------------------------------
  1 | 一 | 一件 | 680
  2 | 的 | 己的 | 489
  3 | 了 | 成了 | 519
  4 | 大 | 大帝 | 273
  5 | 他 | 等他 | 287
  6 | 不 | 忍不 | 213
  7 | 是 | 于是 | 292
  8 | 这 | 这句 | 207
  9 | 来 | 原来 | 269
 10 | 有 | 所有 | 223
 11 | 在 | 正在 | 151
 12 | 到 | 到底 | 146
 13 | 会 | 会怎 | 107
 14 | 我 | 次我 | 100
 15 | 个 | 整个 | 187
 16 | 们 | 们讲 | 139
 17 | 就 | 就像 | 177
 18 | 子 | 桌子 | 166
 19 | 说 | 传说 | 119
 20 | 手 | 摆手 | 61
 21 | 里 | 殿里 | 169
 22 | 下 | 陛下 | 147
 23 | 看 | 相看 | 142
 24 | 上 | 马上 | 142
 25 | 中 | 中国 | 42
 26 | 都 | 全都 | 91
 27 | 你 | 你猜 | 72
 28 | 时 | 时候 | 57
 29 | 好 | 刚好 | 84
 30 | 地 | 地方 | 94
 31 | 出 | 冲出 | 79
 32 | 猴 | 美猴 | 96
 33 | 王 | 阎王 | 143
 34 | 人 | 别人 | 86
 35 | 要 | 重要 | 63
 36 | 也 | 谁也 | 69
 37 | 龙 | 向龙 | 101
 38 | 听 | 听完 | 79
 39 | 想 | 想子 | 64
 40 | 开 | 开始 | 47
 41 | 飞 | 飞快 | 45
 42 | 面 | 面子 | 43
 43 | 东 | 东子 | 43
 44 | 山 | 山子 | 63
 45 | 花 | 负花 | 48
 46 | 头 | 抬头 | 68
 47 | 小 | 小孩 | 74
 48 | 心 | 心子 | 40
 49 | 后 | 最后 | 66
 50 | 站 | 站满 | 43
 51 | 多 | 多年 | 65
 52 | 身 | 翻身 | 41
 53 | 笑 | 笑子 | 49
 54 | 走 | 走进 | 72
 55 | 游 | 游子 | 7
 56 | 家 | 家伙 | 46
 57 | 孙 | 圣孙 | 311
 58 | 悟 | 悟子 | 295
 59 | 空 | 空已 | 312
 60 | 老 | 俺老 | 42
 61 | 神 | 神奇 | 74
 62 | 仙 | 仙女 | 87
 63 | 桃 | 蟠桃 | 71
 64 | 西 | 西子 | 26
 65 | 前 | 往前 | 27
 66 | 水 | 水晶 | 29
 67 | 风 | 威风 | 28
 68 | 跳 | 跳子 | 22
 69 | 高 | 高兴 | 37
 70 | 对 | 对子 | 16
 71 | 长 | 长生 | 26
 72 | 问 | 问题 | 26
 73 | 为 | 因为 | 10
 74 | 口 | 口气 | 34
 75 | 吃 | 吃惊 | 29
 76 | 拿 | 拿子 | 22
 77 | 树 | 树子 | 23
 78 | 光 | 光闪 | 25
 79 | 天 | 天庭 | 179
 80 | 那 | 那子 | 108
 81 | 着 | 带着 | 174
 82 | 石 | 石子 | 18
 83 | 跑 | 跑子 | 10
 84 | 起 | 举起 | 103
 85 | 可 | 可子 | 96
 86 | 坐 | 坐子 | 17
 87 | 少 | 少子 | 10
 88 | 火 | 火尖 | 14
 89 | 喝 | 喝酒 | 17
 90 | 放 | 放子 | 13
 91 | 怪 | 怪子 | 20
 92 | 外 | 外子 | 10
 93 | 星 | 星子 | 17
 94 | 雪 | 雪子 | 2
 95 | 哭 | 哭子 | 3
 96 | 日 | 日子 | 5
 97 | 低 | 低子 | 9
 98 | 法 | 办法 | 23
 99 | 短 | 短子 | 5
100 | 动 | 舞动 | 31
101 | 新 | 新子 | 7
102 | 关 | 关子 | 2
103 | 草 | 草子 | 6
104 | 木 | 木子 | 4
105 | 答 | 答应 | 8
106 | 坏 | 坏子 | 1
107 | 魔 | 世魔 | 14
108 | 足 | 足子 | 2
109 | 耳 | 耳朵 | 8
110 | 牙 | 牙子 | 1
111 | 南 | 南子 | 9
112 | 北 | 北子 | 4
113 | 舌 | 舌子 | 1
114 | 穿 | 穿子 | 6
115 | 目 | 目子 | 2
116 | 月 | 月子 | 2
117 | 旧 | 旧子 | 1
118 | 爬 | 爬子 | 1
119 | 鼻 | 鼻子 | 1
120 | 还 | 还差 | 79
121 | 师 | 师子 | 3
122 | 事 | 事情 | 61
123 | 很 | 很远 | 70
124 | 见 | 见子 | 41
