SRC300_v1.1 字词库
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
共150道题 = 150个单字 + 150个词组 = 300个词汇

格式：序号 | 单字 | 词组 | 字频
--------------------------------------------------
  1 | 一 | 一个 | 680
  2 | 的 | 里的 | 489
  3 | 了 | 到了 | 519
  4 | 大 | 大家 | 273
  5 | 他 | 了他 | 287
  6 | 不 | 不住 | 213
  7 | 是 | 可是 | 292
  8 | 这 | 这个 | 207
  9 | 来 | 起来 | 269
 10 | 有 | 没有 | 223
 11 | 在 | 在天 | 151
 12 | 到 | 来到 | 146
 13 | 会 | 一会 | 107
 14 | 我 | 我们 | 100
 15 | 个 | 个人 | 187
 16 | 们 | 子们 | 139
 17 | 就 | 就像 | 177
 18 | 子 | 猴子 | 166
 19 | 说 | 说道 | 119
 20 | 手 | 手里 | 61
 21 | 里 | 这里 | 169
 22 | 下 | 一下 | 147
 23 | 看 | 看看 | 142
 24 | 上 | 上一 | 142
 25 | 中 | 中国 | 42
 26 | 都 | 家都 | 91
 27 | 你 | 你们 | 72
 28 | 时 | 时候 | 57
 29 | 好 | 好像 | 84
 30 | 地 | 地方 | 94
 31 | 出 | 出来 | 79
 32 | 人 | 的人 | 86
 33 | 要 | 要是 | 63
 34 | 也 | 也没 | 69
 35 | 听 | 一听 | 79
 36 | 想 | 想到 | 64
 37 | 开 | 开始 | 47
 38 | 飞 | 飞向 | 45
 39 | 面 | 里面 | 43
 40 | 山 | 果山 | 63
 41 | 花 | 花果 | 48
 42 | 头 | 点头 | 68
 43 | 小 | 小猴 | 74
 44 | 猴 | 的猴 | 96
 45 | 王 | 龙王 | 143
 46 | 心 | 心里 | 40
 47 | 后 | 以后 | 66
 48 | 站 | 站在 | 43
 49 | 多 | 很多 | 65
 50 | 身 | 身上 | 41
 51 | 笑 | 笑着 | 49
 52 | 走 | 走了 | 72
 53 | 龙 | 海龙 | 101
 54 | 家 | 家一 | 46
 55 | 孙 | 孙悟 | 311
 56 | 悟 | 悟空 | 295
 57 | 空 | 空一 | 312
 58 | 老 | 老孙 | 42
 59 | 前 | 往前 | 27
 60 | 水 | 水晶 | 29
 61 | 风 | 威风 | 28
 62 | 跳 | 一跳 | 22
 63 | 高 | 高兴 | 37
 64 | 长 | 长的 | 26
 65 | 问 | 问题 | 26
 66 | 口 | 一口 | 34
 67 | 吃 | 吃了 | 29
 68 | 拿 | 拿子 | 22
 69 | 仙 | 神仙 | 87
 70 | 树 | 桃树 | 23
 71 | 光 | 金光 | 25
 72 | 桃 | 蟠桃 | 71
 73 | 天 | 天庭 | 179
 74 | 那 | 那里 | 108
 75 | 着 | 带着 | 174
 76 | 起 | 一起 | 103
 77 | 可 | 了可 | 96
 78 | 对 | 不对 | 16
 79 | 为 | 为子 | 10
 80 | 游 | 游子 | 7
 81 | 雪 | 雪子 | 2
 82 | 石 | 石头 | 18
 83 | 哭 | 哭子 | 3
 84 | 跑 | 跑子 | 10
 85 | 坐 | 坐在 | 17
 86 | 少 | 少子 | 10
 87 | 日 | 日子 | 5
 88 | 火 | 火尖 | 14
 89 | 低 | 低子 | 9
 90 | 喝 | 喝酒 | 17
 91 | 法 | 办法 | 23
 92 | 短 | 短子 | 5
 93 | 放 | 放子 | 13
 94 | 关 | 关子 | 2
 95 | 外 | 外子 | 10
 96 | 草 | 草子 | 6
 97 | 木 | 木子 | 4
 98 | 答 | 答子 | 8
 99 | 星 | 金星 | 17
100 | 足 | 足子 | 2
101 | 耳 | 耳子 | 8
102 | 牙 | 牙子 | 1
103 | 舌 | 舌子 | 1
104 | 穿 | 穿着 | 6
105 | 目 | 目子 | 2
106 | 月 | 月子 | 2
107 | 爬 | 爬子 | 1
108 | 鼻 | 鼻子 | 1
109 | 还 | 还有 | 79
110 | 师 | 师子 | 3
111 | 事 | 事情 | 61
112 | 很 | 很快 | 70
113 | 见 | 看见 | 41
114 | 慢 | 慢慢 | 76
115 | 样 | 这样 | 51
116 | 东 | 东西 | 43
117 | 果 | 如果 | 73
118 | 然 | 忽然 | 62
119 | 只 | 只是 | 62
120 | 声 | 一声 | 43
121 | 又 | 又大 | 64
122 | 眼 | 眼睛 | 46
123 | 自 | 自己 | 43
124 | 得 | 觉得 | 68
125 | 越 | 越来 | 58
126 | 啊 | 啊他 | 66
127 | 呢 | 呢孙 | 43
128 | 儿 | 会儿 | 65
129 | 么 | 什么 | 89
130 | 变 | 变成 | 56
131 | 学 | 学子 | 2
132 | 道 | 知道 | 41
133 | 什 | 有什 | 51
134 | 能 | 不能 | 48
135 | 没 | 还没 | 86
136 | 真 | 真的 | 44
137 | 器 | 兵器 | 50
138 | 兵 | 天兵 | 54
139 | 去 | 去了 | 89
140 | 过 | 过来 | 62
141 | 回 | 回来 | 41
142 | 轻 | 轻轻 | 76
143 | 住 | 住了 | 44
144 | 点 | 一点 | 81
145 | 太 | 太白 | 39
146 | 根 | 一根 | 42
147 | 把 | 把那 | 58
148 | 神 | 的神 | 74
149 | 海 | 东海 | 51
150 | 宫 | 龙宫 | 41

--------------------------------------------------
统计信息：
- 单字数量：150
- 词组数量：124
- 词汇总数：274
- 文本覆盖率：64.08%
