SRC800_v1.1 字词库（新增部分）
基于《西游记•趣味中文文本库》前20集
生成时间：2026-07-30
新增297道题
累计不重复单字：800个

格式：序号 | 单字 | 词组 | 字频
--------------------------------------------------
  1 | 趟 | 趟子 | 1
  2 | 鹏 | 鹏子 | 2
  3 | 扶 | 扶子 | 1
  4 | 鸟 | 鸟子 | 1
  5 | 翅 | 翅子 | 2
  6 | 膀 | 膀子 | 2
  7 | 乘 | 乘子 | 1
  8 | 酷 | 酷子 | 1
  9 | 比 | 比子 | 6
 10 | 箭 | 箭子 | 1
 11 | 托 | 托塔 | 4
 12 | 嗖 | 嗖子 | 3
 13 | 街 | 街子 | 3
 14 | 卖 | 卖子 | 1
 15 | 敲 | 敲子 | 1
 16 | 锣 | 锣子 | 1
 17 | 鼓 | 鼓子 | 1
 18 | 肯 | 肯子 | 2
 19 | 晃 | 一晃 | 7
 20 | 胡 | 胡子 | 3
 21 | 假 | 假子 | 2
 22 | 装 | 装子 | 3
 23 | 随 | 随子 | 5
 24 | 乡 | 乡子 | 1
 25 | 嘘 | 嘘子 | 1
 26 | 指 | 指子 | 3
 27 | 士 | 武士 | 7
 28 | 笔 | 笔子 | 8
 29 | 近 | 近子 | 7
 30 | 靠 | 靠在 | 5
 31 | 摸 | 摸子 | 8
 32 | 巴 | 巴子 | 2
 33 | 缩 | 缩子 | 4
 34 | 虫 | 虫子 | 2
 35 | 嗡 | 嗡子 | 1
 36 | 缝 | 缝子 | 1
 37 | 堂 | 堂子 | 2
 38 | 瞪 | 瞪子 | 2
 39 | 馆 | 馆子 | 1
 40 | 枪 | 尖枪 | 6
 41 | 剑 | 剑子 | 1
 42 | 戟 | 戟子 | 3
 43 | 哟 | 哟子 | 4
 44 | 清 | 清子 | 5
 45 | 愁 | 愁子 | 1
 46 | 冒 | 冒子 | 5
 47 | 主 | 主意 | 4
 48 | 阵 | 一阵 | 8
 49 | 搬 | 搬子 | 5
 50 | 但 | 但子 | 1
 51 | 嘿 | 嘿子 | 8
 52 | 增 | 增子 | 1
 53 | 项 | 项子 | 1
 54 | 细 | 细的 | 9
 55 | 欲 | 欲子 | 1
 56 | 拔 | 拔下 | 3
 57 | 噗 | 噗子 | 3
 58 | 抱 | 抱子 | 3
 59 | 岗 | 岗子 | 1
 60 | 呐 | 呐子 | 4
 61 | 嘛 | 嘛子 | 2
 62 | 眯 | 眯子 | 8
 63 | 深 | 深子 | 8
 64 | 吸 | 吸了 | 5
 65 | 猛 | 猛地 | 4
 66 | 刮 | 刮子 | 3
 67 | 沙 | 沙子 | 2
 68 | 乱 | 乱子 | 9
 69 | 简 | 简子 | 3
 70 | 飓 | 飓子 | 1
 71 | 倒 | 倒子 | 6
 72 | 歪 | 歪子 | 2
 73 | 双 | 双手 | 6
 74 | 纷 | 纷纷 | 8
 75 | 躲 | 躲在 | 7
 76 | 趁 | 趁子 | 3
 77 | 令 | 令子 | 5
 78 | 狂 | 狂子 | 1
 79 | 难 | 难看 | 9
 80 | 显 | 显子 | 3
 81 | 巨 | 巨灵 | 7
 82 | 驾 | 驾着 | 3
 83 | 荒 | 荒子 | 2
 84 | 凉 | 凉子 | 1
 85 | 鹤 | 鹤子 | 1
 86 | 留 | 留子 | 2
 87 | 悲 | 悲子 | 1
 88 | 伤 | 伤子 | 3
 89 | 咝 | 咝子 | 3
 90 | 喊 | 喊子 | 6
 91 | 嗯 | 嗯子 | 6
 92 | 丛 | 丛子 | 1
 93 | 蹦 | 蹦子 | 1
 94 | 遭 | 遭子 | 1
 95 | 罪 | 罪子 | 2
 96 | 痛 | 痛子 | 2
 97 | 苦 | 苦子 | 1
 98 | 报 | 报子 | 3
 99 | 仇 | 仇子 | 1
100 | 劲 | 劲子 | 3
101 | 平 | 平子 | 5
102 | 吼 | 吼子 | 1
103 | 该 | 该子 | 5
104 | 公 | 公子 | 2
105 | 集 | 一集 | 7
106 | 保 | 保子 | 2
107 | 护 | 护子 | 1
108 | 案 | 案子 | 1
109 | 附 | 附子 | 2
110 | 群 | 群子 | 4
111 | 闯 | 闯进 | 7
112 | 抢 | 抢子 | 4
113 | 逼 | 逼子 | 1
114 | 胸 | 胸子 | 3
115 | 伏 | 伏子 | 1
116 | 交 | 交子 | 6
117 | 朝 | 朝子 | 5
118 | 踏 | 踏子 | 1
119 | 腾 | 腾子 | 2
120 | 洞 | 洞子 | 8
121 | 黑 | 黑子 | 6
122 | 乎 | 乎子 | 4
123 | 震 | 震子 | 5
124 | 拎 | 拎子 | 1
125 | 盘 | 盘子 | 3
126 | 试 | 试子 | 5
127 | 劈 | 劈子 | 2
128 | 左 | 左子 | 1
129 | 右 | 右子 | 1
130 | 喘 | 喘子 | 2
131 | 吁 | 吁子 | 2
132 | 稳 | 稳子 | 3
133 | 伸 | 伸手 | 8
134 | 逃 | 逃子 | 1
135 | 许 | 许多 | 8
136 | 林 | 林子 | 2
137 | 赢 | 赢子 | 2
138 | 终 | 终于 | 8
139 | 晚 | 晚子 | 2
140 | 作 | 工作 | 4
141 | 响 | 响子 | 4
142 | 笨 | 笨子 | 1
143 | 叹 | 叹了 | 3
144 | 称 | 称子 | 4
145 | 板 | 板桥 | 4
146 | 桥 | 桥子 | 4
147 | 惜 | 惜子 | 1
148 | 凿 | 凿子 | 1
149 | 破 | 破子 | 1
150 | 苍 | 苍子 | 1
151 | 苔 | 苔子 | 1
152 | 藏 | 藏子 | 3
153 | 倾 | 倾子 | 1
154 | 辉 | 辉子 | 1
155 | 箱 | 箱子 | 1
156 | 种 | 一种 | 7
157 | 染 | 染子 | 1
158 | 彩 | 彩子 | 3
159 | 虹 | 虹子 | 2
160 | 颜 | 颜色 | 3
161 | 借 | 借子 | 3
162 | 便 | 便子 | 3
163 | 单 | 单子 | 2
164 | 哦 | 哦子 | 8
165 | 脾 | 脾子 | 3
166 | 干 | 干子 | 6
167 | 噌 | 噌子 | 1
168 | 哧 | 哧子 | 3
169 | 溜 | 溜子 | 2
170 | 钻 | 钻子 | 2
171 | 暗 | 暗子 | 4
172 | 蓝 | 蓝子 | 2
173 | 夜 | 夜叉 | 5
174 | 巡 | 巡子 | 1
175 | 哎 | 哎子 | 3
176 | 较 | 较子 | 2
177 | 波 | 波子 | 2
178 | 精 | 精子 | 3
179 | 灵 | 灵子 | 4
180 | 倍 | 倍子 | 1
181 | 挺 | 挺子 | 4
182 | 帘 | 帘子 | 2
183 | 邻 | 邻子 | 2
184 | 居 | 居子 | 2
185 | 极 | 极了 | 5
186 | 级 | 级子 | 4
187 | 店 | 店子 | 1
188 | 豪 | 豪子 | 1
